location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Switzerland,2022-04-03,10,19,49.72
Switzerland,2022-04-03,20,29,73.17
Switzerland,2022-04-03,30,39,73.5
Switzerland,2022-04-03,40,49,77.84
Switzerland,2022-04-03,50,59,81.19
Switzerland,2022-04-03,60,69,84.75
Switzerland,2022-04-03,70,79,90.54
Switzerland,2022-04-03,80,,92.92
Switzerland,2022-04-10,0,9,3.51
Switzerland,2022-04-10,10,19,49.75
Switzerland,2022-04-10,20,29,73.18
Switzerland,2022-04-10,30,39,73.51
Switzerland,2022-04-10,40,49,77.84
Switzerland,2022-04-10,50,59,81.19
Switzerland,2022-04-10,60,69,84.75
Switzerland,2022-04-10,70,79,90.54
Switzerland,2022-04-10,80,,92.92
Switzerland,2022-04-17,0,9,3.52
Switzerland,2022-04-17,10,19,49.77
Switzerland,2022-04-17,20,29,73.19
Switzerland,2022-04-17,30,39,73.51
Switzerland,2022-04-17,40,49,77.84
Switzerland,2022-04-17,50,59,81.19
Switzerland,2022-04-17,60,69,84.75
Switzerland,2022-04-17,70,79,90.54
Switzerland,2022-04-17,80,,92.92
Switzerland,2022-04-24,0,9,3.52
Switzerland,2022-04-24,10,19,49.8
Switzerland,2022-04-24,20,29,73.2
Switzerland,2022-04-24,30,39,73.52
Switzerland,2022-04-24,40,49,77.85
Switzerland,2022-04-24,50,59,81.2
Switzerland,2022-04-24,60,69,84.75
Switzerland,2022-04-24,70,79,90.54
Switzerland,2022-04-24,80,,92.93
Switzerland,2022-05-01,0,9,3.53
Switzerland,2022-05-01,10,19,49.83
Switzerland,2022-05-01,20,29,73.21
Switzerland,2022-05-01,30,39,73.53
Switzerland,2022-05-01,40,49,77.85
Switzerland,2022-05-01,50,59,81.2
Switzerland,2022-05-01,60,69,84.76
Switzerland,2022-05-01,70,79,90.55
Switzerland,2022-05-01,80,,92.93
Switzerland,2022-05-08,0,9,3.54
Switzerland,2022-05-08,10,19,49.87
Switzerland,2022-05-08,20,29,73.22
Switzerland,2022-05-08,30,39,73.53
Switzerland,2022-05-08,40,49,77.86
Switzerland,2022-05-08,50,59,81.2
Switzerland,2022-05-08,60,69,84.76
Switzerland,2022-05-08,70,79,90.55
Switzerland,2022-05-08,80,,92.93
Switzerland,2022-05-15,0,9,3.56
Switzerland,2022-05-15,10,19,49.92
Switzerland,2022-05-15,20,29,73.23
Switzerland,2022-05-15,30,39,73.54
Switzerland,2022-05-15,40,49,77.86
Switzerland,2022-05-15,50,59,81.21
Switzerland,2022-05-15,60,69,84.76
Switzerland,2022-05-15,70,79,90.55
Switzerland,2022-05-15,80,,92.93
Switzerland,2022-05-22,0,9,3.57
Switzerland,2022-05-22,10,19,49.97
Switzerland,2022-05-22,20,29,73.23
Switzerland,2022-05-22,30,39,73.54
Switzerland,2022-05-22,40,49,77.86
Switzerland,2022-05-22,50,59,81.21
Switzerland,2022-05-22,60,69,84.76
Switzerland,2022-05-22,70,79,90.55
Switzerland,2022-05-22,80,,92.93
Switzerland,2022-05-29,0,9,3.58
Switzerland,2022-05-29,10,19,50.02
Switzerland,2022-05-29,20,29,73.24
Switzerland,2022-05-29,30,39,73.55
Switzerland,2022-05-29,40,49,77.87
Switzerland,2022-05-29,50,59,81.21
Switzerland,2022-05-29,60,69,84.77
Switzerland,2022-05-29,70,79,90.55
Switzerland,2022-05-29,80,,92.93
Switzerland,2022-06-05,0,9,3.59
Switzerland,2022-06-05,10,19,50.06
Switzerland,2022-06-05,20,29,73.25
Switzerland,2022-06-05,30,39,73.55
Switzerland,2022-06-05,40,49,77.87
Switzerland,2022-06-05,50,59,81.22
Switzerland,2022-06-05,60,69,84.77
Switzerland,2022-06-05,70,79,90.55
Switzerland,2022-06-05,80,,92.93
Switzerland,2022-06-12,0,9,3.6
Switzerland,2022-06-12,10,19,50.1
Switzerland,2022-06-12,20,29,73.26
Switzerland,2022-06-12,30,39,73.56
Switzerland,2022-06-12,40,49,77.87
Switzerland,2022-06-12,50,59,81.22
Switzerland,2022-06-12,60,69,84.77
Switzerland,2022-06-12,70,79,90.55
Switzerland,2022-06-12,80,,92.94
Switzerland,2022-06-19,0,9,3.61
Switzerland,2022-06-19,10,19,50.13
Switzerland,2022-06-19,20,29,73.27
Switzerland,2022-06-19,30,39,73.56
Switzerland,2022-06-19,40,49,77.88
Switzerland,2022-06-19,50,59,81.22
Switzerland,2022-06-19,60,69,84.77
Switzerland,2022-06-19,70,79,90.55
Switzerland,2022-06-19,80,,92.94
Switzerland,2022-06-26,0,9,3.62
Switzerland,2022-06-26,10,19,50.15
Switzerland,2022-06-26,20,29,73.28
Switzerland,2022-06-26,30,39,73.57
Switzerland,2022-06-26,40,49,77.88
Switzerland,2022-06-26,50,59,81.22
Switzerland,2022-06-26,60,69,84.77
Switzerland,2022-06-26,70,79,90.56
Switzerland,2022-06-26,80,,92.94
Switzerland,2022-07-03,0,9,3.63
Switzerland,2022-07-03,10,19,50.18
Switzerland,2022-07-03,20,29,73.29
Switzerland,2022-07-03,30,39,73.57
Switzerland,2022-07-03,40,49,77.89
Switzerland,2022-07-03,50,59,81.23
Switzerland,2022-07-03,60,69,84.78
Switzerland,2022-07-03,70,79,90.56
Switzerland,2022-07-03,80,,92.94
Switzerland,2022-07-10,0,9,3.64
Switzerland,2022-07-10,10,19,50.2
Switzerland,2022-07-10,20,29,73.29
Switzerland,2022-07-10,30,39,73.58
Switzerland,2022-07-10,40,49,77.89
Switzerland,2022-07-10,50,59,81.23
Switzerland,2022-07-10,60,69,84.78
Switzerland,2022-07-10,70,79,90.56
Switzerland,2022-07-10,80,,92.94
Switzerland,2022-07-17,0,9,3.64
Switzerland,2022-07-17,10,19,50.22
Switzerland,2022-07-17,20,29,73.3
Switzerland,2022-07-17,30,39,73.58
Switzerland,2022-07-17,40,49,77.89
Switzerland,2022-07-17,50,59,81.24
Switzerland,2022-07-17,60,69,84.78
Switzerland,2022-07-17,70,79,90.56
Switzerland,2022-07-17,80,,92.95
Switzerland,2022-07-24,0,9,3.65
Switzerland,2022-07-24,10,19,50.23
Switzerland,2022-07-24,20,29,73.31
Switzerland,2022-07-24,30,39,73.59
Switzerland,2022-07-24,40,49,77.9
Switzerland,2022-07-24,50,59,81.24
Switzerland,2022-07-24,60,69,84.79
Switzerland,2022-07-24,70,79,90.56
Switzerland,2022-07-24,80,,92.96
Switzerland,2022-07-31,0,9,3.65
Switzerland,2022-07-31,10,19,50.24
Switzerland,2022-07-31,20,29,73.32
Switzerland,2022-07-31,30,39,73.59
Switzerland,2022-07-31,40,49,77.9
Switzerland,2022-07-31,50,59,81.24
Switzerland,2022-07-31,60,69,84.79
Switzerland,2022-07-31,70,79,90.57
Switzerland,2022-07-31,80,,92.97
Switzerland,2022-08-07,0,9,3.66
Switzerland,2022-08-07,10,19,50.25
Switzerland,2022-08-07,20,29,73.33
Switzerland,2022-08-07,30,39,73.6
Switzerland,2022-08-07,40,49,77.9
Switzerland,2022-08-07,50,59,81.24
Switzerland,2022-08-07,60,69,84.79
Switzerland,2022-08-07,70,79,90.57
Switzerland,2022-08-07,80,,92.98
Switzerland,2022-08-14,0,9,3.66
Switzerland,2022-08-14,10,19,50.26
Switzerland,2022-08-14,20,29,73.33
Switzerland,2022-08-14,30,39,73.6
Switzerland,2022-08-14,40,49,77.91
Switzerland,2022-08-14,50,59,81.25
Switzerland,2022-08-14,60,69,84.8
Switzerland,2022-08-14,70,79,90.57
Switzerland,2022-08-14,80,,92.99
Switzerland,2022-08-21,0,9,3.66
Switzerland,2022-08-21,10,19,50.28
Switzerland,2022-08-21,20,29,73.34
Switzerland,2022-08-21,30,39,73.61
Switzerland,2022-08-21,40,49,77.91
Switzerland,2022-08-21,50,59,81.25
Switzerland,2022-08-21,60,69,84.8
Switzerland,2022-08-21,70,79,90.57
Switzerland,2022-08-21,80,,93.0
Switzerland,2022-08-28,0,9,3.67
Switzerland,2022-08-28,10,19,50.29
Switzerland,2022-08-28,20,29,73.34
Switzerland,2022-08-28,30,39,73.61
Switzerland,2022-08-28,40,49,77.91
Switzerland,2022-08-28,50,59,81.25
Switzerland,2022-08-28,60,69,84.8
Switzerland,2022-08-28,70,79,90.58
Switzerland,2022-08-28,80,,93.0
Switzerland,2022-09-04,0,9,3.67
Switzerland,2022-09-04,10,19,50.3
Switzerland,2022-09-04,20,29,73.35
Switzerland,2022-09-04,30,39,73.61
Switzerland,2022-09-04,40,49,77.92
Switzerland,2022-09-04,50,59,81.25
Switzerland,2022-09-04,60,69,84.8
Switzerland,2022-09-04,70,79,90.58
Switzerland,2022-09-04,80,,93.01
Switzerland,2022-09-11,0,9,3.67
Switzerland,2022-09-11,10,19,50.31
Switzerland,2022-09-11,20,29,73.36
Switzerland,2022-09-11,30,39,73.62
Switzerland,2022-09-11,40,49,77.92
Switzerland,2022-09-11,50,59,81.26
Switzerland,2022-09-11,60,69,84.81
Switzerland,2022-09-11,70,79,90.58
Switzerland,2022-09-11,80,,93.01
Switzerland,2022-09-18,0,9,3.68
Switzerland,2022-09-18,10,19,50.32
Switzerland,2022-09-18,20,29,73.36
Switzerland,2022-09-18,30,39,73.62
Switzerland,2022-09-18,40,49,77.92
Switzerland,2022-09-18,50,59,81.26
Switzerland,2022-09-18,60,69,84.81
Switzerland,2022-09-18,70,79,90.58
Switzerland,2022-09-18,80,,93.01
Switzerland,2022-09-25,0,9,3.68
Switzerland,2022-09-25,10,19,50.32
Switzerland,2022-09-25,20,29,73.37
Switzerland,2022-09-25,30,39,73.62
Switzerland,2022-09-25,40,49,77.92
Switzerland,2022-09-25,50,59,81.26
Switzerland,2022-09-25,60,69,84.81
Switzerland,2022-09-25,70,79,90.58
Switzerland,2022-09-25,80,,93.01
Switzerland,2022-10-02,0,9,3.68
Switzerland,2022-10-02,10,19,50.33
Switzerland,2022-10-02,20,29,73.37
Switzerland,2022-10-02,30,39,73.63
Switzerland,2022-10-02,40,49,77.93
Switzerland,2022-10-02,50,59,81.26
Switzerland,2022-10-02,60,69,84.81
Switzerland,2022-10-02,70,79,90.58
Switzerland,2022-10-02,80,,93.02
Switzerland,2022-10-09,0,9,3.68
Switzerland,2022-10-09,10,19,50.33
Switzerland,2022-10-09,20,29,73.37
Switzerland,2022-10-09,30,39,73.63
Switzerland,2022-10-09,40,49,77.93
Switzerland,2022-10-09,50,59,81.26
Switzerland,2022-10-09,60,69,84.81
Switzerland,2022-10-09,70,79,90.58
Switzerland,2022-10-09,80,,93.02
Switzerland,2022-10-16,0,9,3.68
Switzerland,2022-10-16,10,19,50.34
Switzerland,2022-10-16,20,29,73.38
Switzerland,2022-10-16,30,39,73.63
Switzerland,2022-10-16,40,49,77.93
Switzerland,2022-10-16,50,59,81.26
Switzerland,2022-10-16,60,69,84.81
Switzerland,2022-10-16,70,79,90.58
Switzerland,2022-10-16,80,,93.02
Switzerland,2022-10-23,0,9,3.69
Switzerland,2022-10-23,10,19,50.34
Switzerland,2022-10-23,20,29,73.38
Switzerland,2022-10-23,30,39,73.63
Switzerland,2022-10-23,40,49,77.93
Switzerland,2022-10-23,50,59,81.26
Switzerland,2022-10-23,60,69,84.82
Switzerland,2022-10-23,70,79,90.59
Switzerland,2022-10-23,80,,93.03
Switzerland,2022-10-30,0,9,3.69
Switzerland,2022-10-30,10,19,50.35
Switzerland,2022-10-30,20,29,73.39
Switzerland,2022-10-30,30,39,73.64
Switzerland,2022-10-30,40,49,77.93
Switzerland,2022-10-30,50,59,81.27
Switzerland,2022-10-30,60,69,84.82
Switzerland,2022-10-30,70,79,90.59
Switzerland,2022-10-30,80,,93.04
Switzerland,2022-11-06,0,9,3.69
Switzerland,2022-11-06,10,19,50.35
Switzerland,2022-11-06,20,29,73.39
Switzerland,2022-11-06,30,39,73.64
Switzerland,2022-11-06,40,49,77.94
Switzerland,2022-11-06,50,59,81.27
Switzerland,2022-11-06,60,69,84.82
Switzerland,2022-11-06,70,79,90.6
Switzerland,2022-11-06,80,,93.04
Switzerland,2022-11-13,0,9,3.69
Switzerland,2022-11-13,10,19,50.36
Switzerland,2022-11-13,20,29,73.4
Switzerland,2022-11-13,30,39,73.64
Switzerland,2022-11-13,40,49,77.94
Switzerland,2022-11-13,50,59,81.27
Switzerland,2022-11-13,60,69,84.82
Switzerland,2022-11-13,70,79,90.6
Switzerland,2022-11-13,80,,93.05
Switzerland,2022-11-20,0,9,3.7
Switzerland,2022-11-20,10,19,50.36
Switzerland,2022-11-20,20,29,73.4
Switzerland,2022-11-20,30,39,73.64
Switzerland,2022-11-20,40,49,77.94
Switzerland,2022-11-20,50,59,81.27
Switzerland,2022-11-20,60,69,84.83
Switzerland,2022-11-20,70,79,90.6
Switzerland,2022-11-20,80,,93.06
Switzerland,2022-11-27,0,9,3.7
Switzerland,2022-11-27,10,19,50.36
Switzerland,2022-11-27,20,29,73.4
Switzerland,2022-11-27,30,39,73.65
Switzerland,2022-11-27,40,49,77.94
Switzerland,2022-11-27,50,59,81.27
Switzerland,2022-11-27,60,69,84.83
Switzerland,2022-11-27,70,79,90.6
Switzerland,2022-11-27,80,,93.06
Switzerland,2022-12-04,0,9,3.7
Switzerland,2022-12-04,10,19,50.37
Switzerland,2022-12-04,20,29,73.41
Switzerland,2022-12-04,30,39,73.65
Switzerland,2022-12-04,40,49,77.94
Switzerland,2022-12-04,50,59,81.28
Switzerland,2022-12-04,60,69,84.83
Switzerland,2022-12-04,70,79,90.6
Switzerland,2022-12-04,80,,93.07
Switzerland,2022-12-11,0,9,3.7
Switzerland,2022-12-11,10,19,50.37
Switzerland,2022-12-11,20,29,73.41
Switzerland,2022-12-11,30,39,73.65
Switzerland,2022-12-11,40,49,77.94
Switzerland,2022-12-11,50,59,81.28
Switzerland,2022-12-11,60,69,84.83
Switzerland,2022-12-11,70,79,90.61
Switzerland,2022-12-11,80,,93.07
Switzerland,2022-12-18,0,9,3.7
Switzerland,2022-12-18,10,19,50.37
Switzerland,2022-12-18,20,29,73.41
Switzerland,2022-12-18,30,39,73.65
Switzerland,2022-12-18,40,49,77.94
Switzerland,2022-12-18,50,59,81.28
Switzerland,2022-12-18,60,69,84.83
Switzerland,2022-12-18,70,79,90.61
Switzerland,2022-12-18,80,,93.08
Switzerland,2022-12-25,0,9,3.7
Switzerland,2022-12-25,10,19,50.37
Switzerland,2022-12-25,20,29,73.42
Switzerland,2022-12-25,30,39,73.65
Switzerland,2022-12-25,40,49,77.95
Switzerland,2022-12-25,50,59,81.28
Switzerland,2022-12-25,60,69,84.83
Switzerland,2022-12-25,70,79,90.61
Switzerland,2022-12-25,80,,93.08
Switzerland,2023-01-01,0,9,3.7
Switzerland,2023-01-01,10,19,50.38
Switzerland,2023-01-01,20,29,73.42
Switzerland,2023-01-01,30,39,73.65
Switzerland,2023-01-01,40,49,77.95
Switzerland,2023-01-01,50,59,81.28
Switzerland,2023-01-01,60,69,84.83
Switzerland,2023-01-01,70,79,90.61
Switzerland,2023-01-01,80,,93.08
Switzerland,2023-01-08,0,9,3.7
Switzerland,2023-01-08,10,19,50.38
Switzerland,2023-01-08,20,29,73.42
Switzerland,2023-01-08,30,39,73.66
Switzerland,2023-01-08,40,49,77.95
Switzerland,2023-01-08,50,59,81.28
Switzerland,2023-01-08,60,69,84.83
Switzerland,2023-01-08,70,79,90.61
Switzerland,2023-01-08,80,,93.08
Switzerland,2023-01-15,0,9,3.7
Switzerland,2023-01-15,10,19,50.38
Switzerland,2023-01-15,20,29,73.42
Switzerland,2023-01-15,30,39,73.66
Switzerland,2023-01-15,40,49,77.95
Switzerland,2023-01-15,50,59,81.28
Switzerland,2023-01-15,60,69,84.84
Switzerland,2023-01-15,70,79,90.61
Switzerland,2023-01-15,80,,93.08
Switzerland,2023-01-22,0,9,3.7
Switzerland,2023-01-22,10,19,50.38
Switzerland,2023-01-22,20,29,73.43
Switzerland,2023-01-22,30,39,73.66
Switzerland,2023-01-22,40,49,77.95
Switzerland,2023-01-22,50,59,81.28
Switzerland,2023-01-22,60,69,84.84
Switzerland,2023-01-22,70,79,90.61
Switzerland,2023-01-22,80,,93.08
Switzerland,2023-01-29,0,9,3.7
Switzerland,2023-01-29,10,19,50.39
Switzerland,2023-01-29,20,29,73.43
Switzerland,2023-01-29,30,39,73.66
Switzerland,2023-01-29,40,49,77.95
Switzerland,2023-01-29,50,59,81.28
Switzerland,2023-01-29,60,69,84.84
Switzerland,2023-01-29,70,79,90.61
Switzerland,2023-01-29,80,,93.08
Switzerland,2023-02-05,0,9,3.7
Switzerland,2023-02-05,10,19,50.39
Switzerland,2023-02-05,20,29,73.43
Switzerland,2023-02-05,30,39,73.66
Switzerland,2023-02-05,40,49,77.95
Switzerland,2023-02-05,50,59,81.28
Switzerland,2023-02-05,60,69,84.84
Switzerland,2023-02-05,70,79,90.61
Switzerland,2023-02-05,80,,93.08
Switzerland,2023-02-12,0,9,3.7
Switzerland,2023-02-12,10,19,50.39
Switzerland,2023-02-12,20,29,73.44
Switzerland,2023-02-12,30,39,73.66
Switzerland,2023-02-12,40,49,77.95
Switzerland,2023-02-12,50,59,81.28
Switzerland,2023-02-12,60,69,84.84
Switzerland,2023-02-12,70,79,90.61
Switzerland,2023-02-12,80,,93.08
Switzerland,2023-02-19,0,9,3.7
Switzerland,2023-02-19,10,19,50.39
Switzerland,2023-02-19,20,29,73.44
Switzerland,2023-02-19,30,39,73.67
Switzerland,2023-02-19,40,49,77.95
Switzerland,2023-02-19,50,59,81.28
Switzerland,2023-02-19,60,69,84.84
Switzerland,2023-02-19,70,79,90.61
Switzerland,2023-02-19,80,,93.08
Switzerland,2023-02-26,0,9,3.7
Switzerland,2023-02-26,10,19,50.4
Switzerland,2023-02-26,20,29,73.44
Switzerland,2023-02-26,30,39,73.67
Switzerland,2023-02-26,40,49,77.95
Switzerland,2023-02-26,50,59,81.28
Switzerland,2023-02-26,60,69,84.84
Switzerland,2023-02-26,70,79,90.61
Switzerland,2023-02-26,80,,93.08
Switzerland,2023-03-05,0,9,3.7
Switzerland,2023-03-05,10,19,50.4
Switzerland,2023-03-05,20,29,73.44
Switzerland,2023-03-05,30,39,73.67
Switzerland,2023-03-05,40,49,77.95
Switzerland,2023-03-05,50,59,81.29
Switzerland,2023-03-05,60,69,84.84
Switzerland,2023-03-05,70,79,90.61
Switzerland,2023-03-05,80,,93.09
Switzerland,2023-03-12,0,9,3.7
Switzerland,2023-03-12,10,19,50.4
Switzerland,2023-03-12,20,29,73.45
Switzerland,2023-03-12,30,39,73.67
Switzerland,2023-03-12,40,49,77.96
Switzerland,2023-03-12,50,59,81.29
Switzerland,2023-03-12,60,69,84.84
Switzerland,2023-03-12,70,79,90.61
Switzerland,2023-03-12,80,,93.09
Switzerland,2023-03-19,0,9,3.7
Switzerland,2023-03-19,10,19,50.4
Switzerland,2023-03-19,20,29,73.45
Switzerland,2023-03-19,30,39,73.67
Switzerland,2023-03-19,40,49,77.96
Switzerland,2023-03-19,50,59,81.29
Switzerland,2023-03-19,60,69,84.84
Switzerland,2023-03-19,70,79,90.61
Switzerland,2023-03-19,80,,93.09
Switzerland,2023-03-26,0,9,3.7
Switzerland,2023-03-26,10,19,50.4
Switzerland,2023-03-26,20,29,73.45
Switzerland,2023-03-26,30,39,73.67
Switzerland,2023-03-26,40,49,77.96
Switzerland,2023-03-26,50,59,81.29
Switzerland,2023-03-26,60,69,84.84
Switzerland,2023-03-26,70,79,90.61
Switzerland,2023-03-26,80,,93.09
Switzerland,2023-04-02,0,9,3.7
Switzerland,2023-04-02,10,19,50.4
Switzerland,2023-04-02,20,29,73.45
Switzerland,2023-04-02,30,39,73.67
Switzerland,2023-04-02,40,49,77.96
Switzerland,2023-04-02,50,59,81.29
Switzerland,2023-04-02,60,69,84.84
Switzerland,2023-04-02,70,79,90.62
Switzerland,2023-04-02,80,,93.09
Switzerland,2023-04-09,0,9,3.7
Switzerland,2023-04-09,10,19,50.41
Switzerland,2023-04-09,20,29,73.45
Switzerland,2023-04-09,30,39,73.67
Switzerland,2023-04-09,40,49,77.96
Switzerland,2023-04-09,50,59,81.29
Switzerland,2023-04-09,60,69,84.84
Switzerland,2023-04-09,70,79,90.62
Switzerland,2023-04-09,80,,93.09
Switzerland,2023-04-16,0,9,3.7
Switzerland,2023-04-16,10,19,50.41
Switzerland,2023-04-16,20,29,73.45
Switzerland,2023-04-16,30,39,73.67
Switzerland,2023-04-16,40,49,77.96
Switzerland,2023-04-16,50,59,81.29
Switzerland,2023-04-16,60,69,84.84
Switzerland,2023-04-16,70,79,90.62
Switzerland,2023-04-16,80,,93.09
Switzerland,2023-04-23,0,9,3.71
Switzerland,2023-04-23,10,19,50.41
Switzerland,2023-04-23,20,29,73.45
Switzerland,2023-04-23,30,39,73.67
Switzerland,2023-04-23,40,49,77.96
Switzerland,2023-04-23,50,59,81.29
Switzerland,2023-04-23,60,69,84.84
Switzerland,2023-04-23,70,79,90.62
Switzerland,2023-04-23,80,,93.09
Switzerland,2023-04-30,0,9,3.71
Switzerland,2023-04-30,10,19,50.41
Switzerland,2023-04-30,20,29,73.46
Switzerland,2023-04-30,30,39,73.68
Switzerland,2023-04-30,40,49,77.96
Switzerland,2023-04-30,50,59,81.29
Switzerland,2023-04-30,60,69,84.84
Switzerland,2023-04-30,70,79,90.62
Switzerland,2023-04-30,80,,93.09
Switzerland,2023-05-07,0,9,3.71
Switzerland,2023-05-07,10,19,50.41
Switzerland,2023-05-07,20,29,73.46
Switzerland,2023-05-07,30,39,73.68
Switzerland,2023-05-07,40,49,77.96
Switzerland,2023-05-07,50,59,81.29
Switzerland,2023-05-07,60,69,84.84
Switzerland,2023-05-07,70,79,90.62
Switzerland,2023-05-07,80,,93.09
Switzerland,2023-05-14,0,9,3.71
Switzerland,2023-05-14,10,19,50.41
Switzerland,2023-05-14,20,29,73.46
Switzerland,2023-05-14,30,39,73.68
Switzerland,2023-05-14,40,49,77.96
Switzerland,2023-05-14,50,59,81.29
Switzerland,2023-05-14,60,69,84.84
Switzerland,2023-05-14,70,79,90.62
Switzerland,2023-05-14,80,,93.09
Switzerland,2023-05-21,0,9,3.71
Switzerland,2023-05-21,10,19,50.41
Switzerland,2023-05-21,20,29,73.46
Switzerland,2023-05-21,30,39,73.68
Switzerland,2023-05-21,40,49,77.96
Switzerland,2023-05-21,50,59,81.29
Switzerland,2023-05-21,60,69,84.84
Switzerland,2023-05-21,70,79,90.62
Switzerland,2023-05-21,80,,93.09
Switzerland,2023-05-28,0,9,3.71
Switzerland,2023-05-28,10,19,50.41
Switzerland,2023-05-28,20,29,73.46
Switzerland,2023-05-28,30,39,73.68
Switzerland,2023-05-28,40,49,77.96
Switzerland,2023-05-28,50,59,81.29
Switzerland,2023-05-28,60,69,84.84
Switzerland,2023-05-28,70,79,90.62
Switzerland,2023-05-28,80,,93.09
Switzerland,2023-06-04,0,9,3.71
Switzerland,2023-06-04,10,19,50.41
Switzerland,2023-06-04,20,29,73.46
Switzerland,2023-06-04,30,39,73.68
Switzerland,2023-06-04,40,49,77.96
Switzerland,2023-06-04,50,59,81.29
Switzerland,2023-06-04,60,69,84.84
Switzerland,2023-06-04,70,79,90.62
Switzerland,2023-06-04,80,,93.09
Switzerland,2023-06-11,0,9,3.71
Switzerland,2023-06-11,10,19,50.41
Switzerland,2023-06-11,20,29,73.46
Switzerland,2023-06-11,30,39,73.68
Switzerland,2023-06-11,40,49,77.96
Switzerland,2023-06-11,50,59,81.29
Switzerland,2023-06-11,60,69,84.84
Switzerland,2023-06-11,70,79,90.62
Switzerland,2023-06-11,80,,93.09
Switzerland,2023-06-18,0,9,3.71
Switzerland,2023-06-18,10,19,50.41
Switzerland,2023-06-18,20,29,73.46
Switzerland,2023-06-18,30,39,73.68
Switzerland,2023-06-18,40,49,77.96
Switzerland,2023-06-18,50,59,81.29
Switzerland,2023-06-18,60,69,84.84
Switzerland,2023-06-18,70,79,90.62
Switzerland,2023-06-18,80,,93.09
Switzerland,2023-06-25,0,9,3.71
Switzerland,2023-06-25,10,19,50.41
Switzerland,2023-06-25,20,29,73.46
Switzerland,2023-06-25,30,39,73.68
Switzerland,2023-06-25,40,49,77.96
Switzerland,2023-06-25,50,59,81.29
Switzerland,2023-06-25,60,69,84.84
Switzerland,2023-06-25,70,79,90.62
Switzerland,2023-06-25,80,,93.09
Switzerland,2023-07-02,0,9,3.71
Switzerland,2023-07-02,10,19,50.41
Switzerland,2023-07-02,20,29,73.46
Switzerland,2023-07-02,30,39,73.68
Switzerland,2023-07-02,40,49,77.96
Switzerland,2023-07-02,50,59,81.29
Switzerland,2023-07-02,60,69,84.84
Switzerland,2023-07-02,70,79,90.62
Switzerland,2023-07-02,80,,93.09
